CUSTOMER_ID,CUSTOMER_FIRST_NAME,CUSTOMER_LAST_NAME,CUSTOMER_AGE,CUSTOMER_EMAIL,CREATED_BY,MODIFIED_BY,CREATED_AT,MODIFIED_AT,PHONE,CITY_ID
79,Dwayne,Bell,62,nichole49@hotmail.com,System,Reviewer,03/01/2025,03/01/2025,659-934-6615,63
81,Stacy,Hubbard,60,conniewebb@hotmail.com,Admin,Reviewer,02/01/2025,03/01/2025,940.431.5018,78
82,Gina,Lopez,21,linda79@garcia.com,Admin,Reviewer,02/01/2025,02/01/2025,(318)562-5255x8,91
83,Derrick,Boyle,63,mrogers@evans.net,Admin,Editor,02/01/2025,05/01/2025,001-667-612-120,92
84,Molly,Hawkins,21,nicholsonvictor@morgan-hill.biz,User,Editor,05/01/2025,03/01/2025,(585)280-2757x1,64
86,Alicia,Burns,26,nhall@hotmail.com,System,Manager,04/01/2025,04/01/2025,+1-063-287-0195,79
88,Courtney,Turner,30,fpittman@johnson-spears.com,User,Reviewer,01/01/2025,06/01/2025,+1-120-957-1814,31
89,Jennifer,Clements,64,bentleyjessica@jackson.org,User,Editor,01/01/2025,04/01/2025,+1-287-394-2478,51
91,Manuel,Kim,18,corycarr@gonzalez-medina.biz,User,Editor,05/01/2025,04/01/2025,(422)719-0055,52
92,Isabella,Hopkins,22,victorperry@yahoo.com,User,Editor,02/01/2025,02/01/2025,(986)145-7464,70
93,Juan,Miller,25,whitemichael@gmail.com,System,Reviewer,02/01/2025,06/01/2025,+1-591-560-1275,65
94,Michael,Gonzalez,43,tracy31@yahoo.com,Admin,Editor,06/01/2025,05/01/2025,+1-355-675-9179,32
95,Maria,Ortega,27,bguerrero@garcia-oliver.biz,Admin,Reviewer,01/01/2025,04/01/2025,739-814-7791x90,33
96,Jessica,Lee,22,elizabethwise@gibson.com,System,Reviewer,04/01/2025,02/01/2025,+1-094-448-4276,15
97,John,Anderson,22,ralph73@gmail.com,System,Editor,06/01/2025,04/01/2025,001-935-956-495,4
98,Crystal,Martin,63,robinsonandrea@rogers.com,Admin,Reviewer,05/01/2025,05/01/2025,740-187-8441,34
99,Kimberly,Fisher,28,ttaylor@evans-brandt.com,System,Reviewer,05/01/2025,01/01/2025,(060)094-9198x9,35
100,Lauren,Allison,56,ccontreras@jones.com,Admin,Reviewer,06/01/2025,01/01/2025,373.941.2917x97,5
